channel_id,sequence,send_height,ack_height,block_delay
channel-88,466988,30202693,30202704,11
channel-341,3377,30202693,30202701,8
channel-208,1489167,30202695,30202705,10
channel-208,1489168,30202697,30202705,8
channel-750,680830,30202699,30202712,13
channel-19774,345662,30202708,30202716,8
channel-0,4035825,30202710,30202727,17
channel-750,680831,30202710,30202723,13
channel-0,4035826,30202719,30202731,12
channel-85077,58926,30202726,30202753,27
channel-750,680832,30202730,30202735,5
channel-208,1489169,30202732,30202741,9
channel-85077,58927,30202755,30202781,26
channel-208,1489170,30202758,30202769,11
channel-0,4035827,30202765,30202774,9
channel-208,1489171,30202768,30202779,11
channel-122,667453,30202772,30202775,3
channel-0,4035828,30202788,30202800,12
channel-522,40402,30202793,30202804,11
channel-750,680833,30202799,30202803,4
channel-75,844476,30202800,30202806,6
channel-146,20021,30202807,30202816,9
channel-143,128221,30202811,30202820,9
channel-19774,345663,30202812,30202823,11
channel-750,680834,30202815,30202820,5
channel-75,844477,30202815,30202832,17
channel-6994,1322494,30202815,30202825,10
channel-2,130556,30202816,30202827,11
channel-88,466989,30202816,30202889,73
channel-750,680835,30202818,30202834,16
channel-874,292255,30202818,30202822,4
channel-77,50247,30202824,30202833,9
channel-75,844478,30202828,30202846,18
channel-4,166750,30202830,30202844,14
channel-2188,43406,30202832,30202837,5
channel-1,408014,30202832,30202868,36
channel-0,4035829,30202833,30202854,21
channel-208,1489172,30202838,30202848,10
channel-38946,123944,30202848,30202874,26
channel-6994,1322495,30202848,30202862,14
channel-326,537286,30202856,30202867,11
channel-148,16075,30202857,30202866,9
channel-21113,25272,30202858,30202864,6
channel-259,314113,30202866,30202871,5
channel-208,1489173,30202871,30202886,15
channel-0,4035830,30202878,30202889,11
channel-750,680836,30202902,30202918,16
channel-6897,5622,30202912,30202920,8
channel-208,1489174,30202915,30202925,10
channel-874,292256,30202918,30202925,7
channel-1429,140632,30202918,30202929,11
channel-188,190501,30202918,30202962,44
channel-75,844479,30202923,30202931,8
channel-42,1489764,30202923,30202931,8
channel-4,166751,30202924,30202957,33
channel-85077,58928,30202924,30202954,30
channel-2188,43407,30202927,30202931,4
channel-143,128222,30202927,30202939,12
channel-75,844480,30202929,30202936,7
channel-91017,2702,30202930,30202939,9
channel-0,4035831,30202931,30202940,9
channel-0,4035832,30202932,30202957,25
channel-874,292257,30202941,30202947,6
channel-199,132472,30202943,30202951,8
channel-181,13577,30202948,30202957,9
channel-750,680837,30202949,30202954,5
channel-0,4035833,30202950,30202957,7
channel-2188,43408,30202954,30202957,3
channel-75,844481,30202957,30202963,6
channel-208,1489175,30202962,30202974,12
channel-251,85119,30202967,30202976,9
channel-208,1489176,30202972,30202982,10
channel-2188,43409,30202974,30202979,5
channel-412,64379,30202974,30202988,14
channel-38946,123945,30202978,30202989,11
channel-750,680838,30202983,30202988,5
channel-750,680839,30202984,30203001,17
channel-216,94045,30202988,30202993,5
channel-750,680840,30202995,30202999,4
channel-750,680841,30203000,30203005,5
channel-320,119119,30203000,30203011,11
channel-1,408015,30203003,30203039,36
channel-199,132473,30203004,30203029,25
channel-6994,1322496,30203007,30203015,8
channel-259,314114,30203007,30203012,5
channel-0,4035834,30203007,30203018,11
channel-2188,43410,30203015,30203020,5
channel-0,4035835,30203015,30203029,14
channel-750,680842,30203015,30203020,5
channel-4,166752,30203021,30203043,22
