channel_id,sequence,send_height,ack_height,block_delay,send_time,ack_time,fee_amount,fee_denom
channel-750,680752,30202052,30202059.0,7.0,,,,
channel-750,680753,30202053,30202065.0,12.0,,,,
channel-750,680754,30202053,30202077.0,24.0,,,,
channel-874,292249,30202054,30202060.0,6.0,,,,
channel-6994,1322484,30202054,30202068.0,14.0,,,,
channel-750,680755,30202054,30202070.0,16.0,,,,
channel-0,4035790,30202054,30202068.0,14.0,,,,
channel-216,94039,30202054,30202058.0,4.0,,,,
channel-0,4035791,30202056,30202080.0,24.0,,,,
channel-0,4035792,30202056,30202068.0,12.0,,,,
channel-88,466986,30202056,30202070.0,14.0,,,,
channel-750,680756,30202057,30202066.0,9.0,,,,
channel-216,94040,30202058,30202062.0,4.0,,,,
channel-208,1489122,30202058,30202068.0,10.0,,,,
channel-0,4035793,30202062,30202069.0,7.0,,,,
channel-208,1489123,30202062,30202070.0,8.0,,,,
channel-782,310006,30202066,30202070.0,4.0,,,,
channel-85077,58911,30202068,30202097.0,29.0,,,,
channel-0,4035794,30202071,30202080.0,9.0,,,,
channel-216,94041,30202073,30202077.0,4.0,,,,
channel-750,680757,30202073,30202082.0,9.0,,,,
channel-0,4035795,30202074,30202094.0,20.0,,,,
channel-750,680758,30202075,30202082.0,7.0,,,,
channel-204,670700,30202076,30233757.0,31681.0,,,,
channel-1429,140630,30202077,30202082.0,5.0,,,,
channel-750,680759,30202079,30202082.0,3.0,,,,
channel-143,128216,30202080,30202098.0,18.0,,,,
channel-750,680760,30202080,30202088.0,8.0,,,,
channel-85077,58912,30202080,30202097.0,17.0,,,,
channel-143,128217,30202080,30202089.0,9.0,,,,
channel-91017,2694,30202080,30202088.0,8.0,,,,
channel-750,680761,30202080,30202082.0,2.0,,,,
channel-750,680762,30202080,30202091.0,11.0,,,,
channel-750,680763,30202080,30202088.0,8.0,,,,
channel-750,680764,30202080,30202088.0,8.0,,,,
channel-750,680765,30202082,30202117.0,35.0,,,,
channel-750,680766,30202082,30202093.0,11.0,,,,
channel-122,667447,30202082,30202239.0,157.0,,,,
channel-208,1489124,30202082,30202091.0,9.0,,,,
channel-750,680767,30202082,30202093.0,11.0,,,,
channel-122,667448,30202082,30202088.0,6.0,,,,
channel-208,1489125,30202082,30202091.0,9.0,,,,
channel-208,1489126,30202082,30202091.0,9.0,,,,
channel-750,680768,30202085,30202090.0,5.0,,,,
channel-208,1489127,30202088,30202093.0,5.0,,,,
channel-208,1489128,30202088,30202093.0,5.0,,,,
